Code,Nama,Gate,Jenis,EPOS,Email,Status
ADK02,ADIKARTA II (SOUVENIR) ,17,Snack Bar & Cake shop,E-POS 078,adk02_epos078@bonastoco.net,
ARL01,ARTHA LOKA I,17,Aroma Therapy,E-POS 093,arl01_epos093@bonastoco.net,
ARC01,AURA ESSENCE,17,Gift Shop (Souvenir),E-POS 096,arc01_epos096@bonastoco.net,
BPW01,BALI PAWIWAHAN,17,Snack Bar & Cake shop,E-POS 080,bpw01_epos080@bonastoco.net,
BKR01,BATIK KERIS,17,Batik,E-POS 092,bkr01_epos092@bonastoco.net,
BJB03,BEJANA BALI ,17,Gift Shop (Souvenir),E-POS 099,bjb03_epos099@bonastoco.net,ok
BNG01,BHARATA NIAGA,17,Gift Shop (Souvenir),E-POS 097,bng01_epos097@bonastoco.net,ok
IJW09,JEWELRY BALINDO,17,"Jewelery,Watches & Clock",E-POS 091,ijw09_epos091@bonastoco.net,
KDA02,KADHE ANUGRAH ,17,Garment & T Shirt,E-POS 087,kda02_epos087@bonastoco.net,
WMP03,PERIPLUS BOOKINDO,17,Book Store,E-POS 095,wmp03_epos095@bonastoco.net,
MNA02,PRIMAJAYA PANTES GARMENT,17,Garment & T Shirt,E-POS 094,mna02_epos094@bonastoco.net,ok
ASV05,PUSPA ANGKASA,17,Gift Shop (Souvenir),E-POS 089,asv05_epos089@bonastoco.net,ok
IJW11,PUSPA ANGKASA,17,Gift Shop (Souvenir),E-POS 088,ijw11_epos088@bonastoco.net,ok
RTW01,RATNAWATI,17,Art Shop,E-POS 086,rtw01_epos086@bonastoco.net,ok
SYM01,SURYA MAS,17,Gift Shop (Souvenir),E-POS 090,sym01_epos090@bonastoco.net,
TTU02,TOTTI UTAMA II,17,Gift Shop (Souvenir),E-POS 079,ttu02_epos079@bonastoco.net,ok
ADK01,ADIKARTA I ,15 - 16,Snack Bar & Cake shop,E-POS 106,adk01_epos106@bonastoco.net,
ARA02,ANANDA RINDU AJI,15 - 16,Gift Shop (Souvenir),E-POS 100,ara02_epos100@bonastoco.net,ok
ASV02,ANSOR'S SILVER I,15 - 16,Gift Shop (Souvenir),E-POS 068,asv02_epos068@bonastoco.net,
BGR01,BALI GORO,15 - 16,Snack Bar & Cake shop,E-POS 104,bgr01_epos104@bonastoco.net,ok
BPH02,BALI PANUGRAHAN ,15 - 16,Gift Shop (Souvenir),E-POS 101,bph02_epos101@bonastoco.net,
BSW02,BALI SATWIKA ,15 - 16,Restaurant,E-POS 109,bsw02_epos109@bonastoco.net,
BJB02,BEJANA BALI II ,15 - 16,Garment & T Shirt,E-POS 067,bjb02_epos067@bonastoco.net,
CHD01,CHORY HANDAYANI,15 - 16,Art Shop,E-POS 105,chd01_epos105@bonastoco.net,ok
IJW12,JEWELRY BALINDO,15 - 16,Gift Shop (Souvenir),E-POS 103,ijw12_epos103@bonastoco.net,
KRG01,KERIS GALLERY,15 - 16,Batik,E-POS 070,krg01_epos070@bonastoco.net,
KPA01,KOPERASI ANGKASA CAFÉ,15 - 16,Snack Bar & Cake shop,E-POS 108,kpa01_epos108@bonastoco.net,
WMP04,PERIPLUS BOOKINDO,15 - 16,Book store,E-POS 102,wmp04_epos102@bonastoco.net,
PPK02,PUTRA PRIMA NUSA KARYA (POLO),15 - 16,Garment & T Shirt,E-POS 066,ppk02_epos066@bonastoco.net,
IJW15,RESIK LESTARI ,15 - 16,Gift Shop (Souvenir),E-POS 107,ijw15_epos107@bonastoco.net,
SBM01,SUMBER MAKMUR,15 - 16,Snack Bar & Cake shop,E-POS 074,sbm01_epos074@bonastoco.net,
SMU01,SUMBER MAS UTAMA,15 - 16,Gift Shop (Souvenir),E-POS 111,smu01_epos111@bonastoco.net,
VRD01,VERANDA CAFÉ,15 - 16,Restaurant,E-POS 073,vrd01_epos073@bonastoco.net,
SMU02,SUMBER UTAMA MAS,15 - 16,Restaurant,E-POS 110,smu02_epos110@bonastoco.net,
IJW10,JEWELRY BALINDO,Lt.1 Dom,Gift Shop (Souvenir),E-POS 056,ijw10_epos056@bonastoco.net,
BPW03,BALI PAWIWAHAN ,Lt.1 Dom,Snack Bar & Cake shop,E-POS 052,bpw03_epos052@bonastoco.net,
BSC01,BALI SUCI,Lt.1 Dom,Garment & T Shirt,E-POS 055,bsc01_epos055@bonastoco.net,
PJY01,PRAMANA JAYA,Lt.1 Dom,Snack Bar & Cake shop,E-POS 054,pjy01_epos054@bonastoco.net,
PJY02,PRAMANA JAYA,Lt.1 Dom,Snack Bar & Cake shop,E-POS 058,pjy02_epos058@bonastoco.net,
TFY01,TIFANY,Lt.1 Dom,Snack Bar & Cake shop,E-POS 057,tfy01_epos057@bonastoco.net,
TSR01,TIRTA SARI BARAT,Lt.1 Dom,Aroma Therapy,E-POS 062,tsr01_epos062@bonastoco.net,
DKB01,DUNKINDO LESTARI (DOM),P.Hall Dom,Restaurant,E-POS 027,dkb01_epos027@bonastoco.net,
